Ingredient,Complex Carbohydrates,Iron,B-Vitamins,Magnesium,Adaptogen,Fiber,Low Glycemic Load,Protein,Fiber (Soluble + Insoluble),Prebiotics,Probiotics,BCAAs,Creatine,Antioxidants,Polyphenols,Omega-3,Anti-inflammatory agents,Sodium
coconut water,Low,Low,Low,Moderate,No,Low,Yes,Low,Low,No,No,No,No,Moderate,Moderate,No,No,
orange juice,Low,Low,Moderate,Low,No,Low,Yes,Low,Low,No,No,No,No,Moderate,Moderate,No,Moderate,
almond milk,Low,Low,No,Moderate,No,Low,Yes,Low,Low,No,No,No,No,Moderate,Moderate,No,No,
oat milk,High,Low,Moderate,Moderate,No,High,Yes,Low,Yes,Yes,No,No,No,Moderate,Moderate,No,No,
green tea,Low,Low,Low,Low,No,Low,Yes,Low,Low,No,No,No,No,High,High,No,High,
cashew milk,Low,Low,Moderate,Moderate,No,Low,Yes,Low,Low,No,No,No,No,Moderate,Moderate,No,Moderate,
macadamia milk,Low,Low,Low,Moderate,No,Low,Yes,Low,Low,No,No,No,No,Moderate,Moderate,Low,Moderate,
watermelon juice,Moderate,Low,Low,Low,No,Moderate,Yes,Low,Moderate,No,No,No,No,High,High,No,Yes,
maple water,Yes,Low,Yes,Low,No,Yes,Yes,Low,Yes,No,No,No,No,Yes,Yes,No,No,
carrot juice,Moderate,Low,Moderate,Low,No,High,Yes,Low,High,No,No,No,No,High,Moderate,No,Yes,
apple juice,Low,Low,Low,Low,No,Low,Yes,Low,Low,No,No,No,No,Moderate,Moderate,No,No,
banana,High,Low,Moderate,Moderate,No,High,Yes,Low,Yes,Yes,No,No,No,Moderate,Low,No,Moderate,
mango,Moderate,Moderate,Moderate,Moderate,No,High,Yes,Low,Yes,Yes,No,No,No,High,Moderate,No,Yes,
pineapple,High,Low,Moderate,Moderate,No,High,Yes,Low,Yes,No,No,No,No,Moderate,Moderate,No,Moderate,
dates,High,Moderate,Low,Moderate,No,High,Yes,Low,High,No,No,No,No,High,Moderate,No,Moderate,
peaches,Moderate,Low,Low,Moderate,No,Moderate,Yes,Low,Moderate,No,No,No,No,High,Moderate,No,Moderate,
berries,Moderate,Low,Low,Low,No,High,Yes,Low,Yes,No,No,No,No,High,High,Low,Yes,
apple,High,Low,Moderate,Low,No,High,Yes,Low,High,Yes,No,No,No,High,High,No,Moderate,
papaya,High,Moderate,Moderate,Moderate,No,High,Yes,Low,High,Yes,No,Low,No,High,Moderate,Low,Yes,
cantaloupe,High,Low,Moderate,Moderate,No,High,Yes,Low,Yes,No,No,No,No,High,Moderate,No,Moderate,
pear,High,Moderate,Low,Moderate,No,High,Yes,Low,Yes,Yes,No,No,No,High,High,No,Moderate,
acai puree,Low,Low,Low,Low,No,High,Yes,Low,High,No,No,No,No,High,High,Low,Yes,
rolled oats,High,Moderate,Moderate,Moderate,No,High,Yes,Moderate,High,No,No,No,No,Moderate,Moderate,Low,Moderate,
chia seeds,Low,Low,Moderate,Moderate,No,High,Yes,Moderate,High,Yes,No,No,No,High,Moderate,High,High,
psyllium husk,High,Low,Low,Low,No,High,Yes,Low,High,Yes,No,No,No,Low,Low,No,No,
flaxseed,Low,Moderate,Yes,Moderate,No,High,Yes,Moderate,High,No,No,No,No,High,Moderate,Very High,Yes,
apple skin,High,Low,Low,Low,No,High,Yes,Low,High,Yes,No,No,No,High,High,No,Yes,
beetroot,Moderate,Low,Low,Moderate,No,High,Yes,Low,High,Yes,No,Low,No,High,High,No,Moderate,
barley flakes,High,Moderate,Moderate,Moderate,No,High,Yes,Moderate,High,No,No,No,No,Moderate,Moderate,No,No,
quinoa flakes,High,Moderate,High,Moderate,No,High,Yes,Moderate,Yes,No,No,No,No,Moderate,Moderate,No,Moderate,
pumpkin puree,High,Moderate,Moderate,Moderate,No,High,Yes,Low,High,Yes,No,No,No,Moderate,Moderate,No,Moderate,
figs,High,Moderate,Moderate,Moderate,No,High,Yes,Low,High,Yes,No,No,No,High,High,No,Yes,
prunes,High,Moderate,Moderate,Moderate,No,High,Yes,Low,Yes,No,No,No,No,High,High,No,Yes,
greek yogurt,Low,Low,Low,Low,No,No,Yes,High,No,No,Yes,No,No,Low,Low,No,No,
hemp protein,Low,Moderate,Moderate,Moderate,No,High,Yes,High,High,No,No,Yes,No,Moderate,Moderate,Yes,Yes,
silken tofu,Low,Moderate,Yes,Moderate,No,Moderate,Yes,High,Moderate,No,No,No,No,Moderate,Moderate,No,No,
nut butter,Low,Moderate,Moderate,Moderate,No,Moderate,Yes,High,Moderate,No,No,No,No,Moderate,Moderate,No,Low,
sunflower seed butter,Low,Moderate,Moderate,Moderate,No,High,Yes,Moderate,High,No,No,No,No,Moderate,Moderate,Low,Moderate,
skyr,Low,Moderate,High,Moderate,No,Low,Yes,High,Moderate,Yes,Yes,No,No,Moderate,Low,Low,Low,
pumpkin seed protein,Low,Moderate,Very High,High,No,High,Yes,Very High,Yes,No,No,Yes,No,High,High,Low,Yes,
spirulina,Low,High,High,High,No,High,Yes,High,High,Yes,No,Low,No,High,High,Low,Yes,
ricotta,Very Low,Low,Moderate,Moderate,No,Low,Yes,High,Low,No,No,Low,No,Moderate,Low,Low,Low,
almond butter,Low,Moderate,Moderate,Moderate,No,High,Yes,High,High,No,No,Yes,No,Moderate,Moderate,Low,Moderate,
cinnamon,Moderate,Low,Low,Moderate,No,High,Yes,Low,Yes,No,No,No,No,Moderate,High,No,Moderate,
nutmeg,Low,Moderate,High,Moderate,No,High,Yes,Low,Yes,No,No,No,No,Moderate,Moderate,No,Yes,
cardamom,Low,Moderate,Moderate,Low,No,Moderate,Yes,Low,Moderate,No,No,No,No,High,High,No,Moderate,
vanilla extract,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
cacao powder,Moderate,High,Moderate,High,No,High,Yes,Low,High,No,No,No,No,High,High,No,Yes,
cacao nibs,Low,Moderate,Low,Moderate,No,High,Yes,Moderate,High,No,No,No,No,High,High,No,Yes,
shredded coconut,Moderate,Moderate,Moderate,Moderate,No,High,Yes,Low,High,No,No,No,No,Moderate,Moderate,No,No,
mint,Low,Low,Moderate,Low,No,Moderate,Yes,Low,Moderate,No,No,No,No,High,High,No,Moderate,
orange zest,Low,Low,Moderate,Low,No,Moderate,Yes,Low,Moderate,No,No,No,No,Moderate,Moderate,No,Moderate,
rosewater,Low,Low,Low,Low,No,Low,Yes,No,Low,No,No,No,No,Moderate,Moderate,No,Moderate,
sea salt,No,Low,No,Moderate,No,No,Yes,No,No,No,No,No,No,No,No,No,No,
water,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
cucumber water,Low,Low,Low,Low,No,Low,Yes,Low,Low,Yes,No,No,No,Low,Low,No,Low,
cold brew tea,Low,Low,Moderate,Moderate,No,Low,Yes,Low,Low,No,No,No,No,Moderate,Moderate,No,No,
celery juice,Low,Moderate,High,Moderate,No,High,Yes,Low,Yes,Yes,No,No,No,High,Moderate,No,High,
lemon water,Low,Low,Moderate,Moderate,No,Yes,Yes,Low,Yes,No,No,No,No,Moderate,Moderate,No,Low,
spinach water,Low,High,High,High,No,High,Yes,Low,High,Yes,No,No,No,High,High,No,Yes,
bone broth,Low,Moderate,High,Moderate,No,Low,Yes,High,Low,No,No,Yes,No,Moderate,Low,Low,Yes,
hibiscus tea,Low,Low,Low,Low,No,Low,Yes,Low,Low,No,No,No,No,High,High,No,Yes,
ice cubes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
zucchini,Low,Low,Moderate,Moderate,No,High,Yes,Low,High,Yes,No,No,No,High,Moderate,No,Moderate,
cucumber,Low,Low,Low,Moderate,No,High,Yes,Low,High,Yes,No,No,No,Moderate,Moderate,Low,Moderate,
spinach,Low,High,Moderate,Moderate,No,High,Yes,Moderate,Yes,No,No,No,No,High,High,Low,Yes,
kale,Low,High,Moderate,Moderate,No,High,Yes,Moderate,High,Yes,No,Low,No,High,Moderate,Low,High,
cauliflower,Low,Moderate,High,Moderate,No,High,Yes,Low,High,Yes,No,No,No,Moderate,Moderate,No,Moderate,
avocado,Low,Low,Moderate,Moderate,No,Moderate,Yes,Low,Moderate,No,No,No,No,High,High,Low,Yes,
green apple,Moderate,Low,Low,Low,No,High,Yes,Low,Yes,No,No,No,No,High,High,Low,Yes,
celery,Low,Low,Moderate,Moderate,No,High,Yes,Low,High,Yes,No,No,No,Moderate,Moderate,No,Moderate,
broccoli,Low,Moderate,High,Moderate,No,High,Yes,Moderate,High,Yes,No,No,No,High,Moderate,No,Yes,
beet,Moderate,Moderate,Moderate,Moderate,No,High,Yes,Low,High,No,No,No,No,High,High,No,Yes,
konjac powder,High,Low,Low,Low,No,High,Yes,Very Low,High,No,No,No,No,Low,Low,No,No,
apple pectin,High,Low,Low,Low,No,High,Yes,Low,High,Yes,No,No,No,Moderate,Moderate,No,Moderate,
carrot,High,Moderate,Moderate,Moderate,No,High,Yes,Low,High,Yes,No,No,No,High,Moderate,Low,Moderate,
oat bran,High,Moderate,Moderate,Moderate,No,High,Yes,Moderate,Yes,Yes,No,No,No,Yes,No,Low,No,Low
inulin,Yes,Low,Low,Low,No,High,Yes,Low,Yes,Yes,No,No,No,Moderate,Low,No,No,
hemp hearts,Low,Moderate,Yes,Moderate,No,High,Yes,High,High,No,No,Yes,No,Moderate,Moderate,Yes,Yes,
bok choy,Low,Moderate,Moderate,Moderate,No,High,Yes,Low,High,No,No,No,No,Moderate,High,No,Moderate,
plant protein powder,Low,Moderate,High,Moderate,No,Moderate,Yes,High,Moderate,No,No,Yes,No,Moderate,Moderate,No,No,
egg white powder,Very Low,Low,Moderate,Low,No,Very Low,Yes,High,Very Low,No,No,Moderate,No,Moderate,Low,No,No,
soy milk,Moderate,Moderate,Moderate,Moderate,No,Moderate,Yes,Moderate,Moderate,No,No,No,No,Moderate,Moderate,Low,Moderate,
cottage cheese,Low,Low,Moderate,Moderate,No,Low,Yes,High,Low,No,Yes,No,No,Moderate,Low,No,Moderate,
chia protein,Low,Moderate,Moderate,Moderate,No,High,Yes,Very High,High,No,No,Yes,No,Yes,No,Yes,Yes,
lentil protein,Moderate,High,High,Moderate,No,High,Yes,High,High,No,No,Moderate,No,Moderate,Low,Low,Moderate,
pea protein,Low,Moderate,Moderate,Moderate,No,High,Yes,High,High,No,No,High,No,Moderate,Low,Low,Moderate,
tofu,Low,Moderate,Yes,Moderate,No,High,Yes,High,High,No,No,Yes,No,Moderate,No,No,No,
seitan,Low,Moderate,Moderate,Moderate,No,Low,No,High,Low,No,No,Moderate,No,Moderate,No,No,No,
ginger,Low,Low,Moderate,High,No,Moderate,Yes,Low,Moderate,No,No,No,No,High,High,No,Yes,
lemon zest,Low,Low,Yes,Moderate,No,Moderate,Yes,Low,Moderate,No,No,No,No,High,High,No,Moderate,
matcha,Low,Moderate,High,Moderate,No,Moderate,Yes,Low,Yes,No,No,No,No,High,High,No,Yes,
cayenne,Low,Low,Low,Low,No,Low,Yes,Low,Low,No,No,No,No,Moderate,Moderate,No,Yes,
cucumber-mint,Low,Low,Moderate,Moderate,No,High,Yes,Low,High,Yes,No,No,No,Moderate,High,No,Moderate,
apple cider vinegar,Low,Low,Low,Low,No,Low,Yes,Low,Low,No,No,No,No,Moderate,Moderate,No,Yes,
baobab,Low,Moderate,Moderate,Moderate,No,High,Yes,Low,High,Yes,No,No,No,High,Moderate,No,Low,
green coffee extract,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,
kefir,Low,Low,High,Moderate,No,Low,Yes,Moderate,Moderate,Yes,Yes,No,No,Moderate,Moderate,No,No,
aloe vera juice,Low,Low,Low,Low,No,Moderate,Yes,Low,Moderate,No,No,No,No,Moderate,Moderate,No,Yes,
cucumber juice,Low,Low,Yes,Moderate,No,Moderate,Yes,Low,Moderate,Yes,No,No,No,High,High,No,Moderate,
ginger tea,Low,Low,Low,Moderate,No,Low,Yes,Low,Low,No,No,No,No,Moderate,Moderate,No,Moderate,
kombucha,Low,Low,Moderate,Low,No,Low,Yes,Low,Low,Yes,Yes,No,No,Moderate,Moderate,Low,Low,
chamomile tea,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,
fennel tea,Low,Low,Low,Moderate,No,Moderate,Yes,Low,Yes,No,No,No,No,High,High,No,Yes,
kiwi,Moderate,Low,Moderate,Low,No,High,Yes,Low,High,Yes,No,No,No,Very High,High,No,Moderate,
cooked oats,High,Moderate,Moderate,Moderate,No,High,Yes,Moderate,Yes,No,No,No,No,Moderate,Moderate,No,Moderate,
artichoke hearts,Low,Low,Low,Low,No,Moderate,Yes,Low,Moderate,No,No,No,No,Moderate,Moderate,Low,Moderate,
sauerkraut,Low,Moderate,Moderate,Moderate,No,High,Yes,Low,High,Yes,Yes,No,No,Moderate,Moderate,No,Yes,
green banana,High,Low,Moderate,Moderate,No,High,Yes,Low,Yes,Yes,No,No,No,Moderate,Moderate,No,Moderate,
ground hemp,Low,Moderate,Yes,Moderate,No,High,Yes,High,Yes,No,No,No,No,High,Moderate,High,Yes,
almond yogurt,Low,Low,Moderate,Moderate,No,Moderate,Yes,Moderate,Moderate,Yes,Yes,No,No,Moderate,Low,Low,Moderate,
soft tofu,Low,Moderate,Moderate,Moderate,No,Low,Yes,High,Low,No,No,No,No,Moderate,Moderate,No,Low,
bone broth protein,No,Low,Low,Low,No,No,Yes,High,No,No,No,No,No,Moderate,Moderate,No,Moderate,
collagen peptides,No,No,No,No,No,No,No,High,No,No,No,No,No,No,No,No,No,
chia + almond milk,Low,Moderate,Moderate,Moderate,No,High,Yes,Moderate,High,No,No,No,No,Moderate,Moderate,High,Yes,
turmeric,Low,Low,Low,Moderate,No,Yes,Yes,Low,Yes,No,No,No,No,High,High,Low,High,
fennel seeds,Low,Moderate,Moderate,Moderate,No,High,Yes,Low,Yes,No,No,No,No,Moderate,Moderate,No,Yes,
dill,Low,Moderate,Moderate,Moderate,No,Moderate,Yes,Low,Moderate,No,No,No,No,Moderate,High,No,Moderate,
lemon juice,Low,Low,Low,Low,No,Low,Yes,Low,Low,No,No,No,No,Moderate,Moderate,No,Moderate,
licorice root extract,Yes,Low,No,Low,No,Yes,Yes,No,Yes,No,No,No,No,Moderate,Moderate,No,Yes,
manuka honey,Yes,Low,Low,Low,No,Low,Yes,Low,Low,Yes,No,Low,No,High,High,Low,High,
fermented spirulina,Yes,High,High,Moderate,No,Yes,Yes,High,Yes,No,No,No,No,High,High,No,No,
milk,Low,Low,Moderate,Moderate,No,Low,Yes,Moderate,Low,No,No,No,No,Low,Low,Low,Low,
protein almond milk,Low,Low,Low,Moderate,No,Low,Yes,High,Low,No,No,Yes,No,Moderate,Moderate,No,Low,
coconut milk,Low,Low,Yes,Moderate,No,Low,Yes,Low,Moderate,No,No,No,No,Moderate,Moderate,No,No,
cold coffee,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,
chocolate almond milk,Low,Low,Low,Moderate,No,Moderate,Yes,Low,Moderate,No,No,No,No,Moderate,Moderate,No,Moderate,
water + creatine,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,
whey shake,Low,Low,Moderate,Moderate,No,Low,Yes,High,Low,No,No,Moderate,No,Moderate,Low,Low,No,
oats,High,Moderate,Moderate,Moderate,No,High,Yes,Moderate,High,No,No,No,No,Moderate,Moderate,No,Moderate,
sweet potato,High,Moderate,Moderate,Moderate,No,High,Yes,Low,Yes,Yes,No,No,No,High,Moderate,Low,Yes,
frozen berries,Low,Low,Moderate,Low,No,High,Yes,Low,High,Yes,No,No,No,High,High,Low,Yes,
quinoa,High,Moderate,Moderate,High,No,High,Yes,High,Yes,Yes,No,Low,No,Moderate,Moderate,Low,Yes,
protein granola,Moderate,Moderate,High,Moderate,No,High,Yes,High,High,No,No,Yes,No,Moderate,Moderate,No,No,
ground flax,Low,Moderate,Low,Moderate,No,High,Yes,Moderate,High,No,No,No,No,High,No,Yes,Yes,
buckwheat flakes,High,Moderate,Moderate,Moderate,No,High,Yes,Moderate,High,Yes,No,No,No,Moderate,Moderate,Low,Moderate,
lentils,High,Moderate,High,Moderate,No,High,Yes,High,High,Yes,No,No,No,Moderate,Moderate,Low,Moderate,
almond skins,Low,Moderate,Yes,High,No,High,Yes,Moderate,High,No,No,No,No,High,High,No,Yes,
barley,High,Moderate,High,Moderate,No,High,Yes,Moderate,High,No,No,No,No,Moderate,Moderate,No,Moderate,
cooked beetroot,Moderate,Low,Low,Low,No,High,Yes,Low,High,Yes,No,No,No,Moderate,High,No,Moderate,
dried plums,High,Moderate,Moderate,Moderate,No,High,Yes,Low,High,Yes,No,No,No,High,Moderate,No,Moderate,
whey protein,Low,Low,No,Low,No,Low,Yes,High,Low,No,No,High,No,No,No,No,No,
casein,No,Low,No,Low,No,No,No,Yes,No,No,No,No,No,No,No,No,No,
collagen,No,No,No,No,No,No,No,High,No,No,No,No,No,Moderate,Moderate,No,No,
espresso shot,Low,Low,Moderate,Moderate,No,Low,No,Very High,Low,No,No,No,No,Moderate,High,No,No,
creatine,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,
tart cherry juice,Low,Low,Low,Low,No,High,Yes,Low,High,No,No,No,No,High,High,No,Yes,
pomegranate juice,Low,Low,Low,Low,No,High,Yes,Low,High,No,No,No,No,High,High,No,Yes,
rooibos tea,Low,Low,Low,Moderate,Yes,Low,Yes,Low,Low,No,No,No,No,High,High,No,Yes,
collagen milk,Low,Low,Low,Low,No,No,No,High,No,No,No,No,No,No,No,No,No,
ashwagandha,Low,Moderate,Moderate,Moderate,Yes,Moderate,Yes,Low,Moderate,No,No,No,No,Moderate,Moderate,No,Yes,
schisandra,Low,Moderate,High,Moderate,Yes,Moderate,Yes,Low,Moderate,Yes,No,No,No,High,High,Low,Yes,
blueberries,Yes,Low,Low,Low,No,High,Yes,Low,High,No,No,No,No,Very High,High,No,Yes,
pomegranate seeds,Low,Low,Low,Low,No,High,Yes,Low,High,No,No,No,No,High,High,No,Moderate,
purple grapes,Moderate,Low,Low,Low,No,High,Yes,Low,High,No,No,No,No,High,High,No,High,
raspberries,Moderate,Low,Low,Low,No,High,Yes,Low,High,No,No,No,No,High,High,No,Yes,
red cabbage,Moderate,Low,Moderate,Low,No,High,Yes,Low,Yes,Yes,No,No,No,High,High,No,High,
acacia fiber,High,Low,Low,Low,No,High,Yes,Low,High,Yes,No,No,No,Moderate,Low,No,No,
psyllium,High,Low,Low,Low,No,High,Yes,Low,High,Yes,No,No,No,Moderate,Low,No,No,
oat beta-glucans,High,Moderate,Yes,Moderate,No,High,Yes,Moderate,High,No,No,No,No,Moderate,Moderate,No,No,
bamboo fiber,High,Low,Low,Moderate,No,High,Yes,Low,High,Yes,No,No,No,Moderate,Moderate,No,Moderate,
chicory root,Moderate,Moderate,Moderate,Moderate,No,Very High,Yes,Low,Yes,Yes,No,No,No,Moderate,Moderate,No,Moderate,
artichoke fiber,Yes,Moderate,No,Moderate,No,High,Yes,Low,High,Yes,No,No,No,Moderate,Moderate,No,High,
jerusalem artichoke,High,Moderate,Moderate,Moderate,No,High,Yes,Low,High,Yes,No,No,No,Moderate,Moderate,No,Moderate,
red lentils,Moderate,High,High,High,No,High,Yes,High,High,Yes,No,No,No,Moderate,Moderate,No,Yes,
goat yogurt,Low,Moderate,Moderate,Moderate,No,Moderate,Yes,High,Moderate,Yes,Yes,Moderate,No,Moderate,Moderate,Moderate,Moderate,
edamame,Low,Moderate,Moderate,High,No,High,Yes,High,High,No,No,No,No,Moderate,Moderate,Low,Moderate,
chia & hemp,Low,Moderate,Low,Moderate,No,High,Yes,High,High,Yes,No,No,No,Moderate,Moderate,High,Yes,
turmeric + pepper,Low,Low,Low,Low,No,Low,Yes,No,Low,No,No,No,No,High,High,No,Yes,
cocoa nibs,Low,Moderate,Low,Moderate,No,High,Yes,Moderate,High,No,No,No,No,High,High,No,Yes,
clove,Low,Moderate,Low,Low,No,Low,Yes,Low,Low,No,No,No,No,Moderate,Moderate,No,Moderate,
reishi powder,Low,Moderate,Moderate,Moderate,Yes,High,Yes,Low,High,Yes,No,No,No,High,Moderate,No,Yes,
